headword	raw_string	response	verification	comment	attempts
aboard	aboard prep./adv.	"{""headword"":""aboard"",""explanation"":""「aboard」在學測中主要出現在旅行或交通工具相關的情境。它既可作為介系詞（後接交通工具）也可作為副詞（獨立使用）。理解其與 on board 的同義關係，以及它在歡迎乘客時的固定用法是關鍵。"",""senses"":[{""sense"":""在（船、飛機、火車等）上面"",""entries"":[{""pattern"":""aboard sth."",""pos"":""preposition"",""translation"":""在…上"",""explanation"":""直接接交通工具作為受詞，表示人或物位於該交通工具內部。"",""sentences"":[{""sentence"":""After checking their tickets at the gate, the excited passengers finally stepped <target>aboard</target> <pattern>the plane</pattern> for their long flight to London."",""translation"":""在登機口檢查完機票後，興奮的乘客們終於登上了飛往倫敦的長途飛機。""},{""sentence"":""The captain welcomed all the guests <target>aboard</target> <pattern>his ship</pattern> and promised them a safe journey across the Atlantic Ocean."",""translation"":""船長歡迎所有客人登上他的船，並承諾他們將在橫跨大西洋的旅程中平安無事。""}]},{""pattern"":""go / come aboard"",""pos"":""adverb"",""translation"":""登船／登機／登車"",""explanation"":""作為副詞使用，不接受詞，表示進入交通工具的動作。"",""sentences"":[{""sentence"":""The crew members were told to <pattern>go</pattern> <target>aboard</target> quickly because the storm was approaching and the ship needed to leave the harbor."",""translation"":""船員們被告知要趕快登船，因為暴風雨即將到來，船隻需要離開港口。""},{""sentence"":""Once you <pattern>come</pattern> <target>aboard</target>, please find your assigned seat and keep your luggage under the chair in front of you."",""translation"":""一旦你登機後，請找到你被分配的座位，並將行李放在你前方的椅子下方。""}]}],""synonyms"":[{""word"":""on board"",""pos"":""adverb"",""translation"":""在…上"",""explanation"":""與 aboard 完全同義，但 on board 更常用於口語。""}],""antonyms"":[{""word"":""ashore"",""pos"":""adverb"",""translation"":""上岸"",""explanation"":""指離開船隻回到陸地。""}]}],""conjugations"":null,""relatives"":{""morphology"":null,""related"":[{""word"":""board"",""pos"":""noun"",""translation"":""甲板；板塊"",""explanation"":""aboard 的字根，原指船的甲板。""}]}}"	ai_pass		1
acceptable	acceptable adj.	"{""headword"":""acceptable"",""explanation"":""「acceptable」常用於討論社會規範、品質標準或協議時。在學測中，它常被用來描述某種行為是否「可接受的」或「符合標準的」。要注意它與 acceptable to sb. 的搭配用法。"",""senses"":[{""sense"":""可接受的；符合標準的"",""entries"":[{""pattern"":""be acceptable to sb."",""pos"":""adjective"",""translation"":""對某人來說是可以接受的"",""explanation"":""表示某種條件或建議對特定對象而言是可以容忍或同意的。"",""sentences"":[{""sentence"":""The company offered a new contract with a higher salary, which was finally <target>acceptable</target> <pattern>to</pattern> the workers who had been protesting."",""translation"":""公司提供了一份薪水更高的合約，這對那些一直抗議的工人們來說終於是可以接受的。""},{""sentence"":""While the teacher's feedback was honest, some students found his strict grading system <target>unacceptable</target> <pattern>to</pattern> them."",""translation"":""雖然老師的反饋很誠實，但有些學生覺得他的嚴格評分系統對他們來說是不可接受的。""}]},{""pattern"":""an acceptable level / amount"",""pos"":""adjective"",""translation"":""可接受的程度／數量"",""explanation"":""用來修飾名詞，表示該事物達到了一個基本且可容忍的標準。"",""sentences"":[{""sentence"":""The city government decided that the noise level from the new factory was <target>acceptable</target> as long as it did not wake up the neighbors."",""translation"":""市政府決定，只要新工廠的噪音水平不會吵醒鄰居，就是可接受的。""},{""sentence"":""Although the movie had some small mistakes, the overall quality of the acting was <target>acceptable</target> enough for a student film."",""translation"":""雖然這部電影有一些小錯誤，但整體的演技品質對於一部學生電影來說是可接受的。""}]}],""synonyms"":[{""word"":""satisfactory"",""pos"":""adjective"",""translation"":""令人滿意的"",""explanation"":""強調達到要求或標準。""},{""word"":""tolerable"",""pos"":""adjective"",""translation"":""可忍受的"",""explanation"":""強調能被容忍，但未必滿意。""}],""antonyms"":[{""word"":""unacceptable"",""pos"":""adjective"",""translation"":""不可接受的"",""explanation"":null}]}],""conjugations"":null,""relatives"":{""morphology"":""字根 accept (接受) + 形容詞字尾 -able (可…的)"",""related"":[{""word"":""accept"",""pos"":""verb"",""translation"":""接受"",""explanation"":""核心動詞。""},{""word"":""acceptance"",""pos"":""noun"",""translation"":""接受；認可"",""explanation"":""由 accept 延伸而來的名詞。""}]}}"	ai_fail	Sentence 2 in the first pattern contains a target word 'unacceptable' which is the antonym, not the headword 'acceptable'. This is a FIELD_MISMATCH or OTHER_ISSUE as the example sentence for the pattern 'be acceptable to sb.' should demonstrate the headword itself.	1
accurate	accurate adj.	"{""headword"":""accurate"",""explanation"":""「accurate」在學測中極為高頻，特別是在描述科學實驗、數據分析、歷史紀錄或新聞報導時。它強調的是「精確且無誤」的狀態，與 precision 相關。"",""senses"":[{""sense"":""精確的；準確的"",""entries"":[{""pattern"":""accurate information / data"",""pos"":""adjective"",""translation"":""精確的資訊／數據"",""explanation"":""常用於描述研究結果或事實陳述，強調內容完全符合事實。"",""sentences"":[{""sentence"":""To get an <target>accurate</target> result from the chemistry experiment, the students must measure the liquids very carefully with a glass tube."",""translation"":""為了從化學實驗中獲得精確的結果，學生們必須使用玻璃管非常小心地測量液體。""},{""sentence"":""The journalist spent three months interviewing witnesses to ensure that the news report provided <target>accurate</target> information about the accident."",""translation"":""記者花三個月時間訪問證人，以確保新聞報導提供了關於該事故的準確資訊。""}]},{""pattern"":""be accurate in sth."",""pos"":""adjective"",""translation"":""在…方面很準確"",""explanation"":""用來描述某人在特定技能或行為上的精確度。"",""sentences"":[{""sentence"":""The experienced archer was incredibly <target>accurate</target> <pattern>in</pattern> his shots, hitting the center of the target every single time."",""translation"":""那位經驗豐富的弓箭手在射擊方面非常準確，每次都能擊中目標的中心。""},{""sentence"":""Despite her young age, the accountant was very <target>accurate</target> <pattern>in</pattern> her calculations, making no mistakes in the financial report."",""translation"":""儘管她年紀輕，但那位會計師在計算方面非常準確，在財務報告中沒有犯任何錯誤。""}]}],""synonyms"":[{""word"":""precise"",""pos"":""adjective"",""translation"":""精確的"",""explanation"":""強調極高的準確度，通常與量化數據相關。""},{""word"":""exact"",""pos"":""adjective"",""translation"":""準確的；確切的"",""explanation"":""強調與原件完全一致，沒有偏差。""}],""antonyms"":[{""word"":""inaccurate"",""pos"":""adjective"",""translation"":""不準確的"",""explanation"":null},{""word"":""incorrect"",""pos"":""adjective"",""translation"":""錯誤的"",""explanation"":null}]}],""conjugations"":null,""relatives"":{""morphology"":""字根 accur (正確) + 形容詞字尾 -ate"",""related"":[{""word"":""accuracy"",""pos"":""noun"",""translation"":""準確度"",""explanation"":""由 accurate 延伸而來的名詞。""}]}}"	ai_pass		0
ache	ache n./v.	"{""headword"":""ache"",""explanation"":""「ache」可以用作名詞或動詞，表示一種持續且較輕微的疼痛感。在學測中，常出現在健康、醫療或壓力相關的討論中。注意它與 pain 的區別：ache 通常指持續的鈍痛，而 pain 可能是劇烈的突發疼痛。"",""senses"":[{""sense"":""疼痛；酸痛（持續的鈍痛）"",""entries"":[{""pattern"":""a dull ache"",""pos"":""noun"",""translation"":""一種鈍痛"",""explanation"":""常用於描述身體特定部位的持續不適感。"",""sentences"":[{""sentence"":""After working out at the gym for three hours, he felt a dull <target>ache</target> in his muscles that lasted for two days."",""translation"":""在健身房運動三小時後，他感到肌肉有一種鈍痛，持續了兩天。""},{""sentence"":""The old man had a constant <target>ache</target> in his lower back, making it difficult for him to walk long distances without help."",""translation"":""那位老人腰部一直有種鈍痛，使他無法在沒有幫助的情況下行走長距離。""}]},{""pattern"":""ache from sth."",""pos"":""verb"",""translation"":""因…而疼痛"",""explanation"":""作為動詞，表示身體部位因某種原因而產生疼痛。"",""sentences"":[{""sentence"":""My legs began to <target>ache</target> <pattern>from</pattern> walking all day in the city, but I refused to stop until I found the museum."",""translation"":""我的腿因為在城市裡走了一整天而開始酸痛，但我堅持走到找到博物館為止。""},{""sentence"":""Her eyes <target>ached</target> <pattern>from</pattern> staring at the computer screen for too long without taking a break."",""translation"":"" worries 她的眼睛因為盯著電腦螢幕太久沒有休息而感到疼痛。""}]}],""synonyms"":[{""word"":""pain"",""pos"":""noun"",""translation"":""疼痛"",""explanation"":""泛指所有類型的疼痛。""},{""word"":""throb"",""pos"":""verb"",""translation"":""抽痛；悸動"",""explanation"":""強調疼痛具有節奏感。""}],""antonyms"":[]}],""conjugations"":{""past_tense"":""ached"",""past_participle"":""ached""},""relatives"":{""morphology"":null,""related"":[{""word"":""headache"",""pos"":""noun"",""translation"":""頭痛"",""explanation"":""複合名詞：head + ache。""},{""word"":""stomachache"",""pos"":""noun"",""translation"":""胃痛"",""explanation"":""複合名詞：stomach + ache。""},{""word"":""toothache"",""pos"":""noun"",""translation"":""牙痛"",""explanation"":""複合名詞：tooth + ache。""}]}}"	ai_fail	Sentence 2 in the second pattern contains gibberish/typo: 'worries 她的眼睛'. The word 'worries' is an English word but is placed randomly before the translation, which is CONTAINS_GIBBERISH or CONTAINS_TYPO.	1
achieve	achieve(ment) v./(n.)	"{""headword"":""achieve"",""explanation"":""「achieve」在學測中是成功、目標與個人成長相關的極高頻動詞。理解其後方接續的受詞（如 goal, success, target）是關鍵。要注意它與 achieve(ment) 的詞性轉換，以及在寫作中如何將其轉化為名詞形式以提高文章的層次。"",""senses"":[{""sense"":""達成；實現（目標、願望或成功）"",""entries"":[{""pattern"":""achieve a goal / success / target"",""pos"":""verb"",""translation"":""達成目標／獲得成功／達到目標值"",""explanation"":""最常見的搭配，指透過努力地完成預定的計劃或目標。"",""sentences"":[{""sentence"":""Through hard work and constant practice, the young pianist was finally able to <target>achieve</target> her <pattern>goal</pattern> of winning the international competition."",""translation"":""透過努力工作和不斷練習，這位年輕的鋼琴家終於能達成她贏得國際比賽的目標。""},{""sentence"":""The company managed to <target>achieve</target> a high level of <pattern>success</pattern> by creating an innovative product that solved a common problem for millions."",""translation"":""這間公司透過創造一個能為數百萬人解決共同問題的創新產品，成功地獲得了高度的成功。""}]},{""pattern"":""achieve sth. through sth."",""pos"":""verb"",""translation"":""透過…達成某事"",""explanation"":""強調達成目標的手段或方式。"",""sentences"":[{""sentence"":""Many students <target>achieve</target> better grades <pattern>through</pattern> effective time management and a balanced daily routine."",""translation"":""許多學生透過有效的時間管理和平衡的日常作息，獲得了更好的成績。""},{""sentence"":""The government hopes to <target>achieve</target> peace <pattern>through</pattern> diplomatic talks and international cooperation between the two fighting nations."",""translation"":""政府希望著透過外交談判和兩國之間的國際合作，來達成和平。""}]}],""synonyms"":[{""word"":""accomplish"",""pos"":""verb"",""translation"":""完成；實現"",""explanation"":""強調完成一項任務或計劃。""},{""word"":""attain"",""pos"":""verb"",""translation"":""達到；獲得"",""explanation"":""常指達到一個特定的水準或高度。""},{""word"":""reach"",""pos"":""verb"",""translation"":""到達；達成"",""explanation"":""指達到某個特定的數量或程度。""}],""antonyms"":[{""word"":""fail"",""pos"":""verb"",""translation"":""失敗"",""explanation"":""未能達成預期的目標或結果。""}]}],""conjugations"":{""past_tense"":""achieved"",""past_participle"":""achieved""},""relatives"":{""morphology"":""字根 achiev (達成) + 詞尾 (如 -ment 名詞, -able 形容詞)"",""related"":[{""word"":""achievement"",""pos"":""noun"",""translation"":""成就；達成"",""explanation"":""由 achieve 加上名詞字尾 -ment 延伸而來。""},{""word"":""achievable"",""pos"":""adjective"",""translation"":""可達成的"",""explanation"":""由 achieve 加上形容詞字尾 -able 延伸而來。""}]}}"	ai_pass		1
additional	additional adj.	"{""headword"":""additional"",""explanation"":""「additional」常用於描述增加的數量、資訊或資源。在學測寫作中，可用於替代 simple 「more」來提升文章的正式感。注意它通常修飾名詞，而非直接修飾動詞。"",""senses"":[{""sense"":""額外的；附加的"",""entries"":[{""pattern"":""additional sth."",""pos"":""adjective"",""translation"":""額外的某事"",""explanation"":""指在原有的基礎上增加的部分，常用於費用、時間或資訊。"",""sentences"":[{""sentence"":""If you want to upgrade your hotel room to a suite, you will need to pay an <target>additional</target> fee of fifty dollars."",""translation"":""如果你想將酒店房間升級為套房，你需要支付五十美元的額外費用。""},{""sentence"":""The teacher asked the students to provide <target>additional</target> evidence to support their arguments in the final research paper."",""translation"":""老師要求學生在最終的研究論文中提供額外的證據來支持他們的論點。""}]}],""synonyms"":[{""word"":""extra"",""pos"":""adjective"",""translation"":""額外的"",""explanation"":""較為口語，指超出需求或原定量的部分""},{""word"":""supplementary"",""pos"":""adjective"",""translation"":""補充的"",""explanation"":""強調為了補足缺失或增加完整性而提供的""}],""antonyms"":[{""word"":""insufficient"",""pos"":""adjective"",""translation"":""不足的"",""explanation"":""數量不足以滿足需求或達到標準。""}]}],""conjugations"":null,""relatives"":{""morphology"":""字根 add (增加) + 形容詞字尾 -itional"",""related"":[{""word"":""add"",""pos"":""verb"",""translation"":""增加"",""explanation"":""核心基礎動詞。""},{""word"":""addition"",""pos"":""noun"",""translation"":""增加"",""explanation"":""由 add 延伸而來的名詞。""}]}}"	ai_pass		1
admire	admire v.	"{""headword"":""admire"",""explanation"":""「admire」不僅指對某人的才華或品質的欣賞，在閱讀測驗中也常用於描述對自然風景或藝術作品的讚賞。其核心概念是「帶著尊敬地看」。"",""senses"":[{""sense"":""欽佩；讚賞"",""entries"":[{""pattern"":""admire sb. for sth."",""pos"":""verb"",""translation"":""因某事而欽佩某人"",""explanation"":""強調欽佩的理由或原因。"",""sentences"":[{""sentence"":""Many young students <target>admire</target> the brave doctor <pattern>for</pattern> his courage and dedication to helping poor people in remote villages."",""translation"":""許多年輕學生欽佩這位勇敢的醫生，因為他將勇氣與奉獻精神用於幫助偏遠村莊的貧困人們。""}]},{""pattern"":""admire sth."",""pos"":""verb"",""translation"":""讚賞某事"",""explanation"":""及物動詞，指對美感或特質的欣賞。"",""sentences"":[{""sentence"":""The tourists stopped their car and spent several minutes <target>admiring</target> the breathtaking view of the snow-capped mountains."",""translation"":""遊客們停下車，花了好幾分鐘讚賞那壯麗的雪山景色。""}]}],""synonyms"":[{""word"":""respect"",""pos"":""verb"",""translation"":""尊敬"",""explanation"":""強調對某人權利、地位或品質的認可""},{""word"":""appreciate"",""pos"":""verb"",""translation"":""感激；欣賞"",""explanation"":""強調認出某事物的真正價值""}],""antonyms"":[{""word"":""despise"",""pos"":""verb"",""translation"":""輕視；鄙視"",""explanation"":""完全不尊重或認為某人某事沒有價值。""},{""word"":""scorn"",""pos"":""verb"",""translation"":""蔑視"",""explanation"":""表示對某事物的極端輕視或不屑。""}]}],""conjugations"":{""past_tense"":""admired"",""past_participle"":""admired""},""relatives"":{""morphology"":""字根 admir (驚訝、欽佩) + 動詞字尾 -e"",""related"":[{""word"":""admirable"",""pos"":""adjective"",""translation"":""令人欽佩的"",""explanation"":""由 admire 加上形容詞字尾 -able 延伸而來。""},{""word"":""admiration"",""pos"":""noun"",""translation"":""欽佩；讚賞"",""explanation"":""由 admire 加上名詞字尾 -ation 延伸而來。""}]}}"	ai_fail	The sentence 'Many young students <target>admire</target> the brave doctor <pattern>for</pattern> his courage and dedication to helping poor people in remote villages.' contains a translation error: '將勇氣與奉獻精神用於幫助' is an unnatural translation for 'dedication to helping'. It should be '對幫助...的奉獻精神'.	1
advanced	advanced adj.	"{""headword"":""advanced"",""explanation"":""「advanced」在學測中常出現在教育、科技、語言學習等情境。要注意它可以用於描述人的「程度高」或事物的「先進/發達」。"",""senses"":[{""sense"":""先進的；發達的（指科技、系統或方法）"",""entries"":[{""pattern"":""advanced sth."",""pos"":""adjective"",""translation"":""先進的某事"",""explanation"":""常用於修飾科技、設備、社會或工業系統。"",""sentences"":[{""sentence"":""The new hospital uses <target>advanced</target> medical equipment to detect early signs of cancer more accurately than before."",""translation"":""這間新醫院使用先進的醫療設備，比以往能更準確地偵測出癌症的早期跡象。""},{""sentence"":""Many developed countries have <target>advanced</target> industrial systems that can produce thousands of cars every single day."",""translation"":""許多發達國家擁有先進的工業系統，每天能生產數千輛汽車。""}]}],""synonyms"":[{""word"":""cutting-edge"",""pos"":""adjective"",""translation"":""最尖端的"",""explanation"":""強調處於發展的最前沿""},{""word"":""sophisticated"",""pos"":""adjective"",""translation"":""複雜且先進的"",""explanation"":""強調系統的精細與複雜度""}],""antonyms"":[{""word"":""primitive"",""pos"":""adjective"",""translation"":""原始的"",""explanation"":null},{""word"":""basic"",""pos"":""adjective"",""translation"":""基礎的"",""explanation"":null}]},{""sense"":""高級的；程度高的（指學習、階段或年齡）"",""entries"":[{""pattern"":""advanced level / course"",""pos"":""adjective"",""translation"":""高級程度／課程"",""explanation"":""用於描述學習進度或專業程度。"",""sentences"":[{""sentence"":""After studying basic grammar for a year, Sarah finally entered an <target>advanced</target> English course to improve her speaking skills."",""translation"":""在學習了一年基礎語法後，莎拉終於進入高級英語課程以提升她的口說能力。""},{""sentence"":""The professor gave an <target>advanced</target> lecture on quantum physics, which was far too difficult for the freshman students."",""translation"":""教授給了一場關於量子物理的高級講座，這對大一新生來說實在太困難了。""}]}],""synonyms"":[{""word"":""higher-level"",""pos"":""adjective"",""translation"":""高階的"",""explanation"":null}],""antonyms"":[{""word"":""elementary"",""pos"":""adjective"",""translation"":""初級的"",""explanation"":null}]}],""conjugations"":null,""relatives"":{""morphology"":""動詞 advance (前進) 的過去分詞形式轉化為形容詞"",""related"":[{""word"":""advance"",""pos"":""verb"",""translation"":""前進；推進"",""explanation"":""核心基礎動詞。""},{""word"":""advancement"",""pos"":""noun"",""translation"":""進步；推進"",""explanation"":""指在職涯或科技上的進步。""}]}}"	ai_pass		0
advantage	advantage n.	"{""headword"":""advantage"",""explanation"":""「advantage」在學測中是極高頻詞彙。它可以用作名詞表示「優勢」或「目的」，且常與特定的介系詞搭配（如 take advantage of）。"",""senses"":[{""sense"":""優勢；有利條件"",""entries"":[{""pattern"":""have an advantage over sb./sth."",""pos"":""noun"",""translation"":""比某人／某事更有優勢"",""explanation"":""用於比較兩個對象，強調其中一方擁有某種有利的條件。"",""sentences"":[{""sentence"":""Because he had studied Chinese for ten years, the student <target>had</target> an <pattern>advantage</pattern> <pattern>over</pattern> other candidates during the job interview."",""translation"":""因為他學習中文十年，這名學生在求職面試中比其他候選人更有優勢。""},{""sentence"":""The tall player <target>had</target> a clear <pattern>advantage</pattern> <pattern>over</pattern> his opponent in the basketball game because he could reach the ball easily."",""translation"":""這名高個子球員在籃球賽中比對手有明顯優勢，因為他能輕鬆地觸及球。""}]},{""pattern"":""the advantage of sth."",""pos"":""noun"",""translation"":""…的優點／優勢"",""explanation"":""直接描述某個事物所具備的特質。"",""sentences"":[{""sentence"":""One major <target>advantage</target> <pattern>of</pattern> living in a big city is that you can find a wide variety of stores and restaurants."",""translation"":""住在個大城市的一個主要優勢是你可以找到各式各樣的商店和餐廳。""}]}],""synonyms"":[{""word"":""benefit"",""pos"":""noun"",""translation"":""利益；好處"",""explanation"":""泛指任何帶來好處的事物""},{""word"":""edge"",""pos"":""noun"",""translation"":""優勢"",""explanation"":""口語中常用於指微小的但決定性的優勢""}],""antonyms"":[{""word"":""disadvantage"",""pos"":""noun"",""translation"":""劣勢；缺點"",""explanation"":null}]},{""sense"":""利用（通常指不正當的利用）"",""entries"":[{""pattern"":""take advantage of sb./sth."",""pos"":""noun"",""translation"":""利用某人／某事"",""explanation"":""這個片語是學測極高頻考點。它可以指「利用機會」或「利用某人的善良/天真」來獲利。"",""sentences"":[{""sentence"":""You should <target>take</target> <pattern>advantage</pattern> <pattern>of</pattern> the free English workshops provided by the school to improve your speaking skills."",""translation"":""你應該利用學校提供的免費英語工作坊來提升你的口說能力。""},{""sentence"":""The dishonest salesman tried to <target>take</target> <pattern>advantage</pattern> <pattern>of</pattern> thepatterny the old woman's kindness, charging her double the normal price."",""translation"":""那個不誠實的銷售員試圖利用這位老婦人的善良，向她收取兩倍的正常價格。""}]}],""synonyms"":[{""word"":""exploit"",""pos"":""verb"",""translation"":""利用；開發"",""explanation"":""常用於指不正當地利用某人或資源""}],""antonyms"":[]}],""conjugations"":null,""relatives"":{""morphology"":""字根 advant (前進) + 字尾 -age (名詞)"",""related"":[{""word"":""advantageous"",""pos"":""adjective"",""translation"":""有利的"",""explanation"":""由名詞 advantage 加上形容詞字尾 -ous 延伸而來。""}]}}"	ai_fail	1. INVERTED_TAGS/FIELD_MISMATCH: In the pattern 'have an advantage over sb./sth.', the headword 'advantage' is not the target, but 'had' is tagged as <target>. The headword must always be the target. 2. CONTAINS_GIBBERISH: In the second sentence of 'take advantage of sb./sth.', there is gibberish text 'thepatterny' instead of 'of'. 3. PART_OF_SPEECH_MISMATCH: In the sense '利用', the POS is listed as 'noun', but 'take advantage of' is a verbal phrase acting as a verb. 4. VIOLATION_OF_SYSTEM_PROMPT: The antonym 'disadvantage' has a null explanation.	1
adventure	adventure n.	"{""headword"":""adventure"",""explanation"":""「adventure」在描述個人成長、旅遊體驗或文學作品時非常高頻。核心概念是「未知且帶有風險的經歷」。"",""senses"":[{""sense"":""冒險；刺激的經歷"",""entries"":[{""pattern"":""adventure"",""pos"":""noun"",""translation"":""冒險"",""explanation"":""指一種令人興奮且通常是不太確定的經歷。"",""sentences"":[{""sentence"":""After graduating from college, the young man decided to travel across Europe for a year to seek new <target>adventures</target> in unknown lands."",""translation"":""大學畢業後，這名年輕男子決定在歐洲旅行一年，以在未知土地上尋找新的冒險。""},{""sentence"":""Reading a fantasy novel is like going on an <target>adventure</target> to a magical world where dragons and wizards live together."",""translation"":""閱讀一本奇幻小說就像是前往一個龍與巫師共存的魔法世界進行冒險。""}]},{""pattern"":""go on an adventure"",""pos"":""noun"",""translation"":""去冒險"",""explanation"":""常用於描述開始一段冒險旅程。"",""sentences"":[{""sentence"":""The two best friends decided to <target>go</target> <pattern>on</pattern> an <pattern>adventure</pattern> and explore the deep, dark forest behind their house."",""translation"":""這兩個最好的朋友決定去冒險，探索他們家後方深邃且黑暗的森林。""}]}],""synonyms"":[{""word"":""experience"",""pos"":""noun"",""translation"":""經驗；經歷"",""explanation"":""泛指所有類型的經歷""}],""antonyms"":[]}],""conjugations"":null,""relatives"":{""morphology"":""字根 advent (來到) + 字尾 -ure (名詞)"",""related"":[{""word"":""adventurous"",""pos"":""adjective"",""translation"":""愛冒險的"",""explanation"":""由名詞 adventure 加上形容詞字尾 -ous 延伸而來。""}]}}"	ai_fail	1. INVERTED_TAGS: In the pattern 'go on an adventure', the word 'go' is tagged as <target> instead of 'adventure'. 2. STYLE_MISMATCH: The sentence 'Reading a fantasy novel is like going on an <target>adventure</target> to a magical world where dragons and wizards live together.' is slightly too short (19 words) and the context is a bit too simple for GSAT level. 3. VIOLATION_OF_SYSTEM_PROMPT: The synonym 'experience' has a very generic explanation ('泛指所有類型的經歷') which is inadequate.	1
